 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  The Ruy Lopez also known as the Spanish Game. Or the Spanish Torture.
 [ e4 ]  [ c5 ]  [ N f3 ]  [ N c6 ] , [ B b5 ]  I'm anotating this little minature because I was shocked by the way that black missed my obvious threats. Instead focusing on getting one peice to retreat ignoring the real attack that was being built up. It opens as a Sicilian Defence.
 [ R f1 ] , [ Q x h2 ]  Black has won a pawn but this opens lines against the black king. White can really get started now with 26. [ B x d5 ] and 27. Nxf3.
 [ g4 ]  [ g6 ]  [ g x f5 ] , [ g x f5 ]  Now a new avenue of attack opens for Janowski.
 [ R e2 ] , [ R f8 ]  This move is more active than [ N f8 ] which is also playable.
 [ Q x g7 ] , [ B x g7 ]  White is an exchange under but with a lot of pawns to compensate it. The rest of the game is a lesson about how NOT to play an endgame and my shame is to get a drawn position in which my opponent lost by time. Kudos to him it was a memorabe blitz against a much stronger opponent he almost won.
 [ Q e1 + ]  [ K h3 ]  [ B e6 + ]  [ g4 ]  [ Q x f1 + ]  [ K g3 ] , [ B d6 + ]  [ B f2 + ] looked wonderful but I didn't want the king to escape in f5. I was not sure of the mate yet but it was obviously somewhere ahead. With this move white has [ f4 ] but this just blocks the square all the same.
 [ c2 ]  [ B e3 ]  [ c1 = Q ]  [ B x c1 ]  [ R x c1 ] , [ R d3 ]  true to his style his last move is an attacking move!!
 [ Q b1 ] , [ R c6 ]  The rook takes the lead on attacking white's other weakness on c3.
 [ B x f7 ] , [ R x c8 + ]  Less pieces easier the victory
 [ B d7 ] , [ B d3 ]  For reasons that aren't clear to me Stockfish 9 thinks that 7. [ c x d5 ] [ e x d5 ] 8. [ B d3 ] is much better.
 [ d x c3 ]  [ b x c3 ] , [ O-O ]  Black's position is OK here although if I'd thought about White's next move I might have been tempted to shore up the [ c5 ] pawn somehow - perhaps I should be looking to play [ B g4 ] or [ B d7 ] at this stage. 11. ... [ B g4 ] 12. [ B a3 ] [ b6 ] 13. [ N f d4 ] [ N x d4 ] is interesting. By contrast with the game line Black can develop his Q-side but will his king get stuck in the centre?
 [ R x e3 + ]  [ N x e3 ]  [ K f4 ]  [ N d5 + ] , [ K e4 ]  Fortunately the knight can give a few checks and at the same time maneuver to a better spot.
 [ O-O ] , [ N d2 ]  to get rid of that annoying knight on [ e4 ]  [ N d6 ] , [ c5 ]  and now a pawn break not the previously intended one (d5) but a [ c5 ] pawn break and black has nothing better than the sequence bx[ c5 ] [ d x c5 ]  [ b x c5 ]  [ d x c5 ]  [ N e4 ]  [ N x e4 ]  [ f x e4 ] , [ B c3 ]  and now the bishop is aimed at [ g6 ]  [ a5 ] , [ f3 ]  now another pawn break to open the f column while getting rid of the [ e4 ] pawn
 [ b x a3 ]  [ R x a3 ] , [ N b5 ]  positional weakness.
 [ g x f5 ]  [ R x f5 ]  [ R e4 ] , [ N d5 ]  This position I analysed for quite a while I know all too well when things get a tad tight if I make a mistake it could all but cost me the game
 [ R x h7 ]  [ R x e3 ]  [ K f2 ] , [ R x c3 ]  38…[ R x [ c3 ] ] post game play through and I don’t see much value in my [ c3 ] pawn so he should have considered …[ R h3 ] …Kg8.
 [ N c3 ]  [ N b4 ]  [ B b3 ] , [ g5 ]  I was expecting [ B f5 ] here; I can't remember what I had prepared against it but had given it a lot of thought. However black opts not to pursue the attack on c2. The move he plays is a bit risky given the open centre.
 [ B x c6 + ]  [ N x c6 ]  [ d x c5 ]  [ O-O ]  [ c x d6 ] , [ c x d6 ]  10. ........... [ c x [ d6 ] ] - I then exchange pawns on [ d6 ] ensuring that I will be a clear piece up.
 [ R d1 ] , [ R x d1 # ]  
 [ R a e8 ] , [ R b1 ]  ? This is the turning point in the game. White apparently underestimates the gravity of his situation and thinks he has a move to spare here but in games this sharp every tempo is precious. Trying for counterplay is good but [ b7 ] is entirely safe even if Black plays inaccurately with 15...[ Q x a3 ] (16.Rxb7? [ Q x c3 + ] and White is in trouble). White desperately needed to get his King off the e-file but now it is too late and there's no way out without significant material loss.
 [ B x f1 + ]  [ R h x f1 ]  [ Q x e3 ]  [ K g1 ]  [ Q x g3 + ]  [ R g2 ]  [ Q e3 + ] , [ R g f2 ]  A useful pin that allows me to swing the rook into action without threats of r[ f8 # ]  [ R d6 ]  [ K g2 ] , [ R g6 + ]  It's going to be curtains for white...
 [ R x a5 ]  [ h4 ]  [ g x h4 ]  [ R x h4 ] , [ K d7 ]  And here I thought that I had the win in the bag.
 [ O-O ]  [ Q d6 ] , [ R c2 ]  Ganging up on the c-file. Very crude play but effective in the given position.
 [ K x f3 ]  [ K x c3 ]  [ e4 ]  [ K d2 ] , [ K f2 ]  Here White resigns as it is not possible for white to prevent Queening of [ e4 ] pawn as the important squares [ e1 ] [ e2 ] [ e3 ] are blocked by Black's Queen. The White King cannot occupy any of these squares and cannot stop Queen promotion.
 [ Q f3 ] , [ B e6 ]  -
 [ e4 ]  [ c5 ] , [ c4 ]  This move has been played against me a couple of times recently and though at first I was a bit taken aback I rather like playing against it now. Symmetrical English positions aren't usually my happiest hunting ground but with [ e4 ] systems I really quite enjoy them
 [ c x d5 ] , [ d4 ]  a must. white has to free his queenside pieces...
 [ Q g5 ]  [ g3 ]  [ Q c1 + ]  [ B d1 ]  [ b5 ]  [ B x g7 ] , [ f6 ]  Black traps whites bishop In order to do the same to white.
 [ R x b2 ]  [ R x b2 ]  [ Q x e5 ]  [ Q a3 ]  [ Q x h8 + ]  [ K e7 ] , [ R d1 ]  With a horrible mating threat. Thanks for reading this please rate my annotation and leave some comments!
 [ N b4 ]  [ a x b4 ] , [ a x b4 ]  this is better than en passant: this opens up lines...
 [ c x b5 ]  [ a x b5 ] , [ B x b5 ]  here we are whith a problematic attack to my poor rook i will take the opotunity to move this rook to the h colon
 [ Q h5 ] , [ O-O ]  Again with the f7? White is single-minded in her assault on f7. But now castling is safe and the pawn at [ f7 ] is snug as a rug with that rook backing him up.
 [ R x b1 + ]  [ K g2 ]  [ N e3 + ]  [ K g3 ] , [ B e5 + ]  the plot thickens...
 [ e x f7 + ]  [ K x f7 ] , [ N e5 + ]  either the c pawn or Blacks B leave the board so the extra R will win quickly. Black resigned.
 [ e5 ]  [ N f d7 ]  [ f4 ]  [ c5 ]  [ B e3 ]  [ N c6 ]  [ N f3 ]  [ f6 ]  [ g3 ]  [ a6 ]  [ B h3 ]  [ Q e7 ]  [ Q d2 ]  [ b5 ]  [ Q f2 ]  [ b4 ]  [ N e2 ]  [ c4 ]  [ O-O ]  [ R g8 ]  [ K h1 ]  [ h6 ]  [ c3 ]  [ g5 ]  [ Q g2 ]  [ g4 ]  [ N h4 ]  [ g x h3 ]  [ Q x h3 ]  [ f5 ]  [ a4 ]  [ b x a3 ]  [ e ]  [ p ]  [ R x a3 ]  [ R b8 ]  [ B c1 ] , [ Q g7 ]  Here I moved Queen to g7. White is down material so I thought I would go here to try to trade Queens. But also of the Bishop on [ f8 ] attacking his Rook on a3.
 [ d x e5 ]  [ Q x e5 ]  [ B x d5 ]  [ Q x d5 ] , [ Q c1 ]  protecting [ c5 ] pawn
 [ R x f4 ]  [ K g1 ]  [ R c4 ]  [ R b2 ] , [ R c x c2 ]  He should trade here.
 [ N g f6 ]  [ R h e1 ]  [ O-O-O ]  [ g5 ]  [ N h5 ]  [ B d4 ]  [ N x f4 ]  [ B x g7 ]  [ R x h3 ]  [ N e2 ]  [ N g2 ]  [ R e h1 ]  [ R e3 ]  [ K d2 ]  [ N c5 ]  [ N f4 ]  [ N e4 + ]  [ K c1 ]  [ N x f4 ]  [ R h8 ]  [ c6 ]  [ R x d8 + ]  [ K x d8 ]  [ d x c6 ]  [ b x c6 ]  [ B f6 + ]  [ N x f6 ]  [ g x f6 ]  [ R e4 ]  [ R x d6 + ]  [ K c7 ]  [ R d1 ]  [ R a4 ]  [ a3 ]  [ N e2 + ]  [ K b1 ]  [ R f4 ]  [ K a2 ]  [ R x f6 ]  [ c3 ]  [ N g3 ]  [ R g1 ]  [ N e4 ]  [ R e1 ]  [ N c5 ]  [ R e7 + ]  [ K d8 ]  [ R e3 ]  [ R f2 ]  [ R h3 ]  [ N a4 ]  [ K b3 ]  [ N c5 + ]  [ K a2 ]  [ K c7 ]  [ R h7 ]  [ g5 ]  [ R h3 ]  [ g4 ]  [ R g3 ]  [ f5 ]  [ R e3 ]  [ f4 ]  [ R e5 ]  [ N d7 ]  [ R a5 ]  [ g3 ]  [ R x a6 ]  [ g2 ]  [ R a8 ]  [ g1 = Q ]  [ R e8 ]  [ Q c1 ]  [ K b3 ]  [ Q x b2 + ]  [ K c4 ]  [ N b6 + ]  [ K d3 ]  [ Q d2 + ]  [ K e4 ]  [ Q e2 + ]  [ K f5 ]  [ Q x e8 ]  [ c4 ]  [ Q f7 + ]  [ K e4 ]  [ Q x c4 + ]  [ K f5 ]  [ N d7 ]  [ a4 ]  [ R a2 ]  [ K g5 ]  [ f3 ]  [ a5 ] , [ R x a5 + ]  Now that I am 19 points down it is time to resign. With a rook and a queen in play he should force mate within a few moves. But watch carefully and learn what NOT to do when you have a big advantage.
 [ R e1 ]  [ B e6 ]  [ B x e4 ]  [ f x e4 ]  [ R x e4 ] , [ O-O-O ]  White is behind in development for now but his Rook and Queen are far better than any of Black's forces.
 [ B x d5 + ]  [ N x d5 ] , [ Q x d5 + ]  Black resigned...
 [ g5 ]  [ h x g5 ]  [ d5 ]  [ Q c2 ]  [ d x e4 ]  [ Q x e4 ]  [ B c5 ] , [ Q e5 ]  ooh! I think he's going to regret that move!
 [ B e3 ] , [ h5 ]  Thank god for his sense of wasting turns.
 [ e x d4 ] , [ Q b6 ]  Black launches a queen attack but overlooks a tactic by white. Rate as ?? and +\- because black will lose a piece from this move.
 [ d x e4 ]  [ e5 ] , [ b3 ]  12.[ b3 ] so he'll fianchetto. His DSB is pretty strong but I can shut it down. Kinda thinking of ...Nd4...[ N c6 ] (maybe ...Ne6). Would be nice to tempt his c-pawn to c4. Also gotta load up the d-file.
 [ B d2 ] , [ N d5 ]  This gives my b-Pawn another defender and also allows me to play [ f6 ] at some point relieving my Rook from the need to defend it.
 [ K x e8 ] , [ c4 ]  ?? I guess he didn't see the mate in two.
 [ c3 ] , [ N d3 ]  simply loses a knight for free...
 [ N g5 ]  [ N h5 ]  [ g4 ] , [ N g3 ]  Safe and logical
 [ N f3 ]  [ Q x g2 ] , [ R g1 ]  Trying to keep his crosshairs on the queen but this will lead to some losses.
 [ Q f6 ]  [ b5 ] , [ N a5 ]  after [ a x b5 ] [ a x b5 ] also Na5; [ N e7 ] is looking bad after [ N e5 ] threatening Nd7...
 [ d4 ] , [ B b4 ]  Now! I'm prepared to exchange this B is needed.
 [ K b8 ]  [ B x e4 ] , [ B f6 ]  Hindering my pawn advance and protecting the e pawn from [ B d8 ] but giving my king some breathing room.
 [ R c1 ]  [ N x a2 ] , [ N e5 ]  I wanted to introduce some tactics into the position...
 [ B x d5 ]  [ c x d5 ] , [ d4 ]  I would not be surprised if this is a main line of the 12.[ B x d5 ] [ c x d5 ] variation arrived at via transposition.
 [ R b8 ] , [ B c4 ]  better is surely [ B a4 ]  [ a5 ]  [ B f6 ] , [ a4 ]  Computer calls this a blunder preferring [ h5 ] and we will see why
 [ R f c1 ]  [ B x c4 ]  [ R x c4 ]  [ B x d6 ]  [ B x d6 ]  [ N x e4 ]  [ R x d4 ]  [ N x d6 ]  [ R x d6 ] , [ R b7 ]  Relax. My advantage stand still if I can take the c pawn I win.
 [ K g4 ]  [ b4 ]  [ h5 ] , [ b x a5 ]  And Black resigns as the Pawn cannot be stopped.
 [ g6 ]  [ e6 ]  [ f x e6 ]  [ B x e6 + ]  [ K h8 ] , [ f7 ]  the pawn on [ f7 ] creates some tactical possilities and prevents black from playing ... Re8.
 [ e4 ]  [ e5 ]  [ N f3 ] , [ N f6 ]  Entering the Petrov Defence.
 [ Q f7 ]  [ Q e5 ]  [ N d7 ]  [ Q c7 ]  [ K g7 ] , [ Q x b7 ]  Trying to capture his rook.
 [ K h8 ] , [ B f4 ]  here I go attacking the bishop
 [ K g7 ]  [ R h7 + ]  [ K f6 ]  [ Q f3 + ] , [ K e7 ]  Note that white still has yet to regain the material lost in the sacrifice of the bishop earlier. Nonetheless white's victory is all but assured...
 [ N x g5 ]  [ N f5 ] , [ h x g6 ]  31. hxg6. Now that the Rook is gone from the g-file this move clears out another file and prepares the next big blow.
 [ B c4 ]  [ c6 ]  [ d6 ]  [ e x d6 ] , [ d4 ]  I started to figure this would be a battle of tempo.
 [ N e3 ] , [ N c4 ]  Let the punishment commense. 14. Ne3? loses a pawn. White is forked. He won't enjoy 15. ... [ N x e3 ] doubling his pawns in a bad way nor will he enjoy 15. ... [ N x b2 ] so his reply is essentially forced.
 [ g x f4 ]  [ N x c2 + ]  [ K d2 ]  [ N x a1 ]  [ R x a1 ] , [ b5 ]  All those exchanges left material even mathematically but instead of being ahead by two pieces black is now ahead by a rook+pawn. In my opinion that is a much easier endgame to win and more likely to produce additional advantages before we reach that endgame. Further the white pawns are much more disrupted with the isolated h pawn and the doubled f-pawns and the backward d and b pawns all of which amount to structural/positional flaws that black should be able to exploit given his material advantage.
 [ N d2 ] , [ R a3 ]  Inducing Harrwitz to jettison the backward KP in hopes of counterplay.
 [ d4 ]  [ d5 ]  [ c4 ]  [ e6 ]  [ N c3 ]  [ N f6 ]  [ c x d5 ]  [ e x d5 ]  [ B g5 ]  [ c6 ]  [ e3 ]  [ B d6 ]  [ B d3 ] , [ B e6 ]  In the QGD exchange black usually goes for ...[ B e7 ] and ...[ N b d7 ] first.
 [ N b2 ]  [ Q c2 ]  [ N x d3 + ]  [ Q x d3 ] , [ c5 ]  I don't mind [ c4 ] but I don't want to play nothing like [ d x c5 ] allowing him to open the diag specially now that my lsb is gone.
 [ B b2 ] , [ e5 ]  Korchnoi maintains the initiative and strives to further punish white's backward c pawn by trying to make it isolated via an exchange on e5.
 [ e6 ] , [ f6 ]  Not 17...[ N x e6 ] 18.[ Q c2 ] 0-0 19.[ Q x f5 ] [ g6 ] 20.[ Q x d5 ] [ N x f4 ] 21.[ R x e7 ] [ N x d5 ] 22.Rxef7+_
 [ B f2 ]  [ R g4 ]  [ Q h3 ]  [ N d2 ]  [ h5 ] , [ R g5 ]  White resigns. 43..q[ h4 ] wins. Here is a sample variation.
 [ N x h3 + ] , [ K h2 ]  I get out by playing this. That's because he has told me that bringing your monarch to the corner is an important part of King safety. However my King is not safe no matter how you slice it.
 [ R f g8 ] , [ R e4 ]  He tries to eradicate the danger but
 [ O-O ]  [ O-O ] , [ B e6 ]  black tries to hold on to [ d5 ] with this move now all of his minor pieces are developed.
 [ f4 ] , [ g4 ]  black is going all in ..I am expecting [ N h6 ] with [ Q h5 ] to follow...[ K g7 ] & [ R h8 ] gives an attack...
 [ O-O ]  [ O-O ] , [ Q e1 ]  Perhaps White is looking to acquire the pawn on d3? A better play would be to get the DSB in action by moving the b pawn. Once you castle your development isn't complete until you connect your rooks.
 [ e4 ]  [ B x e4 ] , [ B f5 ]  Alternative variation: 28... [ Q f7 ] 29. [ Q x g5 + ] Alternative variation: 28... [ Q e8 ] 29. [ Q x g5 + ] Alternative variation: 28... [ Q x e4 ] 29. [ Q x g5 + ]  [ B x f5 ]  [ Q x f5 ] , [ N h6 + ]  With mate coming up.
 [ R g6 ] , [ e6 ]  ? Better to just take the pawn.
 [ g4 ]  [ K e6 ]  [ K f1 ]  [ K e5 ] , [ a4 ]  I doubt DV will let me promote but I have to try...
 [ B d6 ] , [ N e5 ]  The thematic... threatening NxB for one side...
 [ R g7 ]  [ Q x h6 + ]  [ R h7 ]  [ Q f6 + ]  [ R g7 ] , [ R a7 ]  This is getting worrying now i need to be real careful...
 [ R a2 ] , [ e6 + ]  A decisive move that came from nowhere! I'm still not sure I myself saw it! I bait the King with the central pawns to remove the c-pawn and the powerful Rook behind it. With a Rook positioned on the 8th rank I can better fight the b-pawn and its escort.
 [ N f6 ] , [ B g5 ]  I believe this is the first time I've played this opening the Trompowski attack.
 [ Q x g4 ] , [ B x g4 ]  White captured the queen as expected and black recaptured with the LB.
 [ Q c4 + ]  [ K g6 ] , [ Q g4 + ]  Same story here except now even though this is a mistake I am going to work around Black's active Queen and Rook (this is a successful plan).
 [ f5 ] , [ f4 ]  Inviting black to break up his pawns and preventing black from playing 17. [ f5 ] and forking the white queen and bishop.
 [ c5 ] , [ Q d3 ]  Doesn't appear to be any immediate threat to the queen on [ d3 ] it keeps the DSB diagonal open and it is more actively placed than d1. The rooks will also connect once that bishop moves...
 [ f3 ]  [ N h6 ]  [ B f6 ] , [ R h7 ]  The BQ is dued to the defence of g6. If black moves [ N b6 ] RxB can be considered.
 [ B x f5 ]  [ B h6 ] , [ B f8 ]  I lose a minor piece if I retreat the rook. I decided to keep the game complicated.
 [ N f6 ] , [ O-O ]  business as usual; White could also consider the ancient Steinitz favorite [ d3 ] which is a bit slow but very playable for White; which again Fischer showed us on several occasions in tournament play... we will try this on a next occasion...
 [ K e7 ]  [ N c7 ]  [ Q b6 ] , [ Q x c4 ]  Winning a pawn back and preparing to play [ a5 ] when black is mated or loses the queen.
 [ g4 ] , [ h x g4 ]  i decided to exchange pawns although it will open a file for the black rook as i was afraid black may play 17....gxh3.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ B b5 ]  [ N d4 ]  [ N x d4 ]  [ e x d4 ]  [ O-O ] , [ h5 ]  a very interesting variant
 [ N d2 ] , [ N f6 ]  Black is free anytime he wants to play d5. Traditional logic is that [ [ d5 ] ] expands the black center with a gain of tempo but is it really? After [ [ d5 ] ] white moves the bishop (either to [ b3 ] or to b5) but didn't he want to anyway? By white making a move he wanted to make the effect of the so called gain is negligible.
 [ h x g4 ] , [ N x f7 ]  ?? [ B x d6 ] was the right move. If [ f x e6 ] [ N x e6 ] forking Q and R and threatening to take with check. I just blundered here!
 [ Q b3 ] , [ O-O-O ]  Defending [ b7 ] and getting the last Rook into play.
 [ d x e5 ] , [ d x e5 ]  11. .... [ d x e5 ] - after that pawn trade my position looks a little less cramped but white still has a lotta play here!
 [ R x e6 ]  [ Q g4 ]  [ R h e8 ] , [ f4 ]  Aiming for f5-f6. While black can rather easily prevent this threat it also creates a fast lane for my king and allows my knight to develop behind the f-pawn rather than blocking it.
 [ d5 ]  [ B b3 ]  [ N x b3 ] , [ a x b3 ]  got a double up on pawns for the future
 [ R d3 ]  [ Q c5 + ]  [ K h1 ]  [ c x d6 ]  [ b4 ]  [ Q b6 ]  [ R d4 ]  [ N g4 ]  [ R f1 ]  [ R a e8 ]  [ f5 ] , [ R e1 ]  ! One blow after another. I was sure when he made this excellent move I was lost. [ R x e1 ] nf2+.
 [ B x h3 ]  [ g3 ]  [ B g4 ] , [ K g2 ]  21. [ K g2 ] - I decided to move Henry to this square because I had a BxRP sac idea of my own. I also had big ideas of piling up with my major pieces on the h file. Unfortunately Dave unleashes his own deadly plan.
 [ e4 ]  [ e5 ]  [ N f3 ]  [ N c6 ]  [ B c4 ]  [ N f6 ]  [ O-O ]  [ B c5 ]  [ N c3 ]  [ d6 ] , [ h3 ]  White had better continue with his development. This achieves nothing except for weaking the pprotectetion of of kings side .
 [ N f x d5 ] , [ g3 ]  Maybe my pawns can stir things up.
